generation,max_fitness,avg_fitness,std_dev
1,18.59,8.0442,4.559828983635243
2,32.77999999999991,11.09512,7.2675610231768895
3,32.77999999999991,11.687920000000002,7.540463815548743
4,32.77999999999991,11.57716,6.90802990254095
5,32.77999999999991,11.98836,7.961696147831813
6,33.44,12.46836,8.514244193726178
7,33.454000000000065,13.480640000000001,9.195214237330202
8,33.659999999999904,13.48576,9.18310225263772
9,33.659999999999904,14.90332,9.417053557116473
10,59.2,13.893719999999998,9.970736727123022
11,179.999999999997,18.645319999999938,25.35445102891365
12,200.0,24.313519999999944,36.200278192433565
13,200.0,24.662679999999973,38.89132910993898
14,200.0,18.97567999999994,35.98902525461867
15,200.0,21.454759999999943,35.76373050315614
16,200.0,22.140319999999956,44.31372426029643
17,200.0,24.52640000000001,46.47894038034863
18,200.0,25.632400000000004,47.02561863665378
19,200.0,25.930639999999944,45.70762142039751
20,200.0,29.946400000000004,46.742756728288924
21,200.0,42.535160000000005,63.525012905582315
22,200.0,35.79311999999994,53.85580031329572
23,200.0,34.40095999999998,56.84729063903043
24,200.0,38.81776000000004,60.973043450547955
25,200.0,33.86848,57.05602733813142
26,200.0,49.7364,69.98244496329062
27,200.0,47.258280000000006,69.39931082194981
28,200.0,55.68436,76.6978706475636
29,200.0,58.907399999999996,78.95556228183041
30,200.0,54.780679999999954,66.91786011116604
31,200.0,29.946400000000004,46.742756728288924
32,200.0,42.535160000000005,63.525012905582315
33,200.0,35.79311999999994,53.85580031329572
34,200.0,34.40095999999998,56.84729063903043
35,200.0,38.81776000000004,60.973043450547955
36,200.0,33.86848,57.05602733813142
37,200.0,49.7364,69.98244496329062
38,200.0,47.258280000000006,69.39931082194981
39,200.0,55.68436,76.6978706475636
40,200.0,58.907399999999996,78.95556228183041
