generation,max_fitness,avg_fitness,std_dev
1,36.039999999999985,5.6912,6.8624358241079335
2,36.039999999999985,8.812119999999998,7.529638837660138
3,36.039999999999985,7.48616,7.092080629434492
4,37.2,8.57568,9.036044208479725
5,48.142,8.55432,11.297922487678875
6,113.29999999999946,11.612999999999989,18.452864177682493
7,113.29999999999946,12.748959999999993,18.656460754344536
8,113.29999999999946,15.07367999999999,20.908377331050776
9,113.29999999999946,16.23799999999999,19.9356131463268
10,113.29999999999946,20.052479999999992,24.897835692477326
11,113.29999999999946,24.427479999999996,25.39079572068584
12,113.29999999999946,24.236679999999996,28.017618313082902
13,113.29999999999946,25.211399999999994,30.657699713448793
14,168.0,30.78891999999998,38.35487425026442
15,168.0,25.42663999999999,34.118784710924245
16,168.0,25.564159999999994,35.49880546010525
17,184.20000000000002,26.118959999999987,40.15128710114283
18,200.0,35.07323999999999,47.13239158097537
19,200.0,35.11084000000005,55.51163134636212
20,200.0,30.28704,45.386155184575834
21,200.0,34.04608,53.460208373645536
22,200.0,38.675,49.72625737977874
23,200.0,41.84480000000001,53.84321276595594
24,200.0,40.27760000000008,56.07733183952333
25,200.0,56.16839999999998,58.39410149527081
26,200.0,40.58656,54.421085571002706
27,200.0,36.743520000000004,55.35513424940455
28,200.0,43.51784,60.139881822085414
29,200.0,37.873360000000005,53.95544170137429
30,200.0,33.63684000000001,49.28022382755987
31,200.0,40.04308000000003,55.173123653039696
32,200.0,45.76168000000004,58.643197579067994
33,200.0,25.075039999999994,46.30359559125402
34,200.0,37.980280000000015,50.03540483139515
35,200.0,43.06936000000003,62.06105302418262
36,200.0,44.744400000000034,53.83127288704964
37,200.0,58.30320000000004,60.93846077609781
38,200.0,62.887760000000156,69.16837399464026
39,200.0,49.02896000000003,59.0430600917534
40,200.0,55.85236000000003,66.44846964159831
