generation,max_fitness,avg_fitness,std_dev
1,27.44999999999994,9.47044,5.600971634136346
2,31.436000000000014,10.25916,7.081694227683089
3,31.436000000000014,11.965600000000004,7.119995853931381
4,111.38,16.529120000000002,17.16437807628345
5,111.38,17.877079999999992,19.581353314661342
6,111.38,17.201039999999992,22.35637676991508
7,111.38,25.470840000000013,29.651716820690176
8,179.999999999997,27.850759999999912,37.392545549913784
9,179.999999999997,35.57059999999993,43.602748521165275
10,410.40000000000066,48.74479999999988,70.09374866505554
11,410.40000000000066,52.22251999999994,70.45461844428364
12,410.40000000000066,55.824680000000065,85.65647207828299
13,787.8839999999999,81.03076000000027,165.99413044894894
14,791.3000000000001,109.1734400000003,226.8953188400475
15,791.3000000000001,74.53764000000032,177.1944454739788
16,791.3000000000001,98.83400000000009,208.20983159188262
17,791.3000000000001,93.80884000000019,208.23940824736945
18,791.3000000000001,197.16095999999993,288.8851543938497
19,791.3000000000001,220.44444000000033,323.8462231208614
20,791.3000000000001,167.68324000000013,287.8842734016266
21,791.3000000000001,190.69132000000016,287.1212081812449
22,791.3000000000001,197.45120000000026,308.35612089712157
23,791.3000000000001,191.61472000000023,301.190400272721
24,791.3000000000001,236.83536000000007,325.9713199562048
25,791.3000000000001,185.3608400000001,307.51995633040565
26,791.3000000000001,160.03392,280.96975631949005
27,791.3000000000001,149.34956000000003,266.4202720149621
28,791.3000000000001,202.93324,305.7502082529175
29,791.3000000000001,211.00895999999997,310.6260989921458
30,791.3000000000001,265.98772,333.01696270262516
30,791.3000000000001,337.97756000000004,371.995197161101
31,791.3000000000001,269.9256399999998,343.83843718134585
32,791.3000000000001,265.9137200000001,360.5905653758591
33,791.3000000000001,255.19972000000013,352.9885893358051
34,791.3000000000001,292.2741600000003,367.0798438565302
35,791.3000000000001,262.21119999999996,356.4255240023082
36,791.3000000000001,366.47816000000023,378.5641394314767
37,791.3000000000001,314.6201600000002,371.76718081677757
38,791.3000000000001,277.6093599999999,358.78901841844373
39,791.3000000000001,337.97756000000004,371.995197161101
40,791.3000000000001,337.97756000000004,371.995197161101
