generation,max_fitness,avg_fitness,std_dev
1,200.0,16.08792,37.80270358577016
2,791.3000000000001,58.422679999999865,157.87624306328496
3,791.3000000000001,131.99819999999997,233.4780697371808
4,791.3000000000001,227.55760000000097,325.2442673811801
5,791.3000000000001,252.9269600000002,337.65137879327347
6,791.3000000000001,263.92783999999983,328.0815558680104
7,791.3000000000001,279.50912,367.9951577040459
8,791.3000000000001,337.03504000000044,374.98626692917503
9,791.3000000000001,364.4920000000004,378.33422009498463
10,791.3000000000001,354.1122400000002,371.42048606045216
11,791.3000000000001,378.4054400000001,382.7363038703363
12,791.3000000000001,422.825,382.4458753434792
13,791.3000000000001,373.24856,373.62735630144425
14,791.3000000000001,475.93863999999996,371.90886421518695
15,791.3000000000001,357.4734799999999,384.31113484400834
16,791.3000000000001,398.9466400000002,381.2101581180523
17,791.3000000000001,489.98708000000033,364.8816144360712
18,791.3000000000001,339.68836000000005,381.23864987415743
19,791.3000000000001,346.35748000000007,380.15725909824425
20,791.3000000000001,309.66408,377.1740782662478
21,791.3000000000001,370.9227200000004,378.6813226309978
22,791.3000000000001,326.50252000000006,379.7876797756999
23,791.3000000000001,295.58932,372.5892975290858
24,791.3000000000001,375.48792000000003,384.5784642028641
25,791.3000000000001,469.5407200000001,379.35653450499785
26,791.3000000000001,517.28056,366.2780571520036
27,791.3000000000001,324.52536,373.3156075428811
28,791.3000000000001,381.3152400000001,381.1263396359564
29,791.3000000000001,423.4162,383.71483597864705
30,791.3000000000001,337.97756000000004,371.995197161101
31,791.3000000000001,269.9256399999998,343.83843718134585
32,791.3000000000001,265.9137200000001,360.5905653758591
33,791.3000000000001,255.19972000000013,352.9885893358051
34,791.3000000000001,292.2741600000003,367.0798438565302
35,791.3000000000001,262.21119999999996,356.4255240023082
36,791.3000000000001,366.47816000000023,378.5641394314767
37,791.3000000000001,314.6201600000002,371.76718081677757
38,791.3000000000001,277.6093599999999,358.78901841844373
39,791.3000000000001,337.97756000000004,371.995197161101
40,791.3000000000001,337.97756000000004,371.995197161101
